Date,Transaction_ID,Type,Amount_EUR,Status,Risk_Score,Region,Analyst_Team
2024-10-14,TX-197890,SWIFT,43727.1,APPROVED,13,EU_Zone,Auto_System
2024-10-28,TX-735390,INTERNAL_TRANSFER,15154.71,APPROVED,17,Domestic,Auto_System
2024-10-19,TX-532837,INTERNAL_TRANSFER,12039.27,APPROVED,14,EU_Zone,Team_Alpha
2024-12-06,TX-306047,ACH,11183.42,APPROVED,2,EU_Zone,Team_Alpha
2024-10-18,TX-555953,INTERNAL_TRANSFER,1510.22,APPROVED,12,EU_Zone,Team_Alpha
2024-10-21,TX-997344,SWIFT,127911.47,BLOCKED_COMPLIANCE,97,Offshore_Zone,Team_Alpha
2024-10-19,TX-262663,ACH,47570.81,APPROVED,3,EU_Zone,Auto_System
2024-11-22,TX-654191,SWIFT,36733.3,APPROVED,2,Domestic,Team_Alpha
2024-12-04,TX-292852,INTERNAL_TRANSFER,18169.5,APPROVED,15,North_America,Team_Alpha
2024-10-16,TX-188991,ACH,11746.91,APPROVED,11,EU_Zone,Auto_System
2024-10-05,TX-866728,SWIFT,107344.94,MANUAL_REVIEW,61,APAC_Emerging,Auto_System
2024-12-27,TX-551653,SWIFT,714902.5,BLOCKED_COMPLIANCE,89,Offshore_Zone,Team_Alpha
2024-12-11,TX-492494,WIRE_TRANSFER,15450.3,APPROVED,18,Domestic,Auto_System
2024-11-27,TX-524512,INTERNAL_TRANSFER,27307.6,APPROVED,9,EU_Zone,Team_Alpha
2024-11-07,TX-879208,WIRE_TRANSFER,21863.86,APPROVED,20,Domestic,Team_Alpha
2024-11-19,TX-861198,ACH,35239.23,APPROVED,15,Domestic,Auto_System
2024-12-12,TX-992476,ACH,4530.65,APPROVED,14,North_America,Team_Alpha
2024-10-26,TX-455299,ACH,47952.54,APPROVED,17,Domestic,Team_Beta
2024-10-02,TX-803939,INTERNAL_TRANSFER,45836.05,APPROVED,19,North_America,Team_Alpha
2024-10-02,TX-878824,INTERNAL_TRANSFER,105828.48,MANUAL_REVIEW,64,APAC_Emerging,Auto_System
2024-11-17,TX-268146,SWIFT,11391.05,APPROVED,20,North_America,Team_Beta
2024-12-17,TX-383336,WIRE_TRANSFER,43628.4,APPROVED,20,North_America,Auto_System
2024-11-19,TX-137140,WIRE_TRANSFER,7157.41,APPROVED,19,North_America,Team_Beta
2024-10-05,TX-502983,SWIFT,19861.44,APPROVED,4,EU_Zone,Team_Beta
2024-11-28,TX-655906,INTERNAL_TRANSFER,49642.34,APPROVED,15,EU_Zone,Team_Beta
2024-10-08,TX-888543,INTERNAL_TRANSFER,84361.45,MANUAL_REVIEW,70,EU_Non_Member,Auto_System
2024-10-02,TX-971070,SWIFT,48889.48,APPROVED,7,EU_Zone,Team_Beta
2024-11-14,TX-509360,ACH,89118.01,MANUAL_REVIEW,83,APAC_Emerging,Team_Alpha
2024-10-16,TX-261489,SWIFT,16205.07,MANUAL_REVIEW,75,EU_Non_Member,Team_Alpha
2024-11-01,TX-290230,INTERNAL_TRANSFER,46195.08,APPROVED,7,North_America,Team_Beta
2024-11-08,TX-835672,SWIFT,22816.96,APPROVED,7,EU_Zone,Auto_System
2024-12-01,TX-334530,SWIFT,22799.88,APPROVED,17,Domestic,Team_Alpha
2024-10-05,TX-542242,WIRE_TRANSFER,16544.05,APPROVED,4,Domestic,Team_Alpha
2024-12-19,TX-780584,ACH,36741.41,APPROVED,17,North_America,Auto_System
2024-12-21,TX-346311,WIRE_TRANSFER,45905.62,APPROVED,14,EU_Zone,Team_Beta
2024-10-16,TX-292595,INTERNAL_TRANSFER,17538.43,APPROVED,14,Domestic,Auto_System
2024-11-27,TX-365151,WIRE_TRANSFER,13636.06,APPROVED,16,Domestic,Team_Alpha
2024-12-15,TX-716042,SWIFT,26089.2,APPROVED,4,North_America,Team_Beta
2024-11-20,TX-155897,INTERNAL_TRANSFER,36274.0,APPROVED,8,EU_Zone,Team_Beta
2024-10-06,TX-126171,SWIFT,36490.57,APPROVED,2,EU_Zone,Auto_System
2024-11-27,TX-332371,SWIFT,41096.52,APPROVED,7,North_America,Team_Beta
2024-12-09,TX-315694,ACH,625.88,APPROVED,11,North_America,Team_Alpha
2024-10-13,TX-840213,ACH,42374.04,APPROVED,6,North_America,Team_Beta
2024-11-19,TX-815508,SWIFT,23951.85,APPROVED,20,North_America,Team_Alpha
2024-12-26,TX-447939,ACH,22900.22,APPROVED,10,EU_Zone,Auto_System
2024-11-10,TX-820216,INTERNAL_TRANSFER,34640.12,APPROVED,10,EU_Zone,Auto_System
